,Product,Date,MERGE,SNOW%,LAND %,SEA %,DATA Count,Test_P_1,Test_P_2,Test_P_3,Test_P_4,Test_P_5
159,H13,20130506,1,19.110851436766353,28.56535826207043,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
160,H13,20130507,1,19.09668738159735,28.579522317239427,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
161,H13,20130508,1,19.18167171261132,28.494537986225453,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
162,H13,20130509,1,19.13740904020821,28.538800658628567,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
163,H13,20130510,1,19.08429383332448,28.591915865512295,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
164,H13,20130511,1,19.048883695401997,28.62732600343478,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
165,H13,20130512,1,19.1285565057276,28.547653193109184,52.32379030116322,56481,0.0,0.0,0.0,0.0,35.0
166,H13,20130513,1,19.029408119544627,28.646801579292152,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
167,H13,20130514,1,18.604486464474775,29.071723234361997,52.32379030116322,56481,0.0,0.0,0.0,0.0,23.0
168,H13,20130515,1,18.99930950231051,28.67690019652627,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
169,H13,20130516,1,18.831111347178705,28.845098351658077,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
170,H13,20130517,1,18.494715036915068,29.181494661921707,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
171,H13,20130518,1,19.08960535401286,28.586604344823925,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
172,H13,20130519,1,18.898390609231427,28.777819089605355,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
173,H13,20130520,1,18.9479648023229,28.72824489651387,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
174,H13,20130521,1,19.179901205715197,28.49630849312158,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
175,H13,20130522,1,19.26665604362529,28.40955365521149,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
176,H13,20130523,1,19.23301641259893,28.44319328623785,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
177,H13,20130524,1,19.09668738159735,28.579522317239427,52.32379030116322,56481,0.0,0.0,0.0,0.0,250.0
178,H13,20130525,1,19.15511410916946,28.521095589667322,52.32379030116322,56481,0.0,0.0,0.0,0.0,119.0
179,H13,20130526,1,19.31268922292452,28.363520475912253,52.32379030116322,56481,0.0,0.0,0.0,0.0,74.0
180,H13,20130527,1,19.3250827711974,28.35112692763938,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
181,H13,20130528,1,19.107310422974095,28.56889927586268,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
182,H13,20130529,1,18.935571254050032,28.740638444786743,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
183,H13,20130530,1,19.059506736778744,28.61670296205804,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
184,H13,20130531,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
185,H13,20130601,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
186,H13,20130602,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
187,H13,20130603,1,0.11508294824808729,47.56112675058869,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
188,H13,20130604,1,18.793930702360086,28.88227899647669,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
189,H13,20130605,1,18.93734176094617,28.738867937890618,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
190,H13,20130606,1,0.7772525273985877,46.898957171438184,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
191,H13,20130607,1,18.616880012747657,29.059329686089125,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
192,H13,20130608,1,18.69832332996937,28.977886368867406,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
193,H13,20130609,1,0.03718064481861916,47.63902905401817,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
194,H13,20130610,1,0.05134469998760949,47.62486499884917,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
195,H13,20130611,1,0.030098617234102676,47.64611108160267,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
196,H13,20130612,1,0.04072165861086319,47.635488040225916,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
197,H13,20130613,1,0.03363963102637513,47.64257006781041,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
198,H13,20130614,1,0.04426267240310722,47.63194702643367,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
199,H13,20130615,1,0.0424921655069852,47.63371753332979,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
200,H13,20130616,1,0.04426267240310722,47.63194702643367,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
201,H13,20130617,1,0.04780368619536546,47.62840601264141,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
202,H13,20130618,1,0.056656220675989744,47.619553478160796,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
203,H13,20130619,1,0.03718064481861916,47.63902905401817,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
204,H13,20130620,1,0.04780368619536546,47.62840601264141,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
205,H13,20130621,1,0.0424921655069852,47.63371753332979,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
206,H13,20130622,1,0.04603317929922923,47.63017651953754,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
207,H13,20130623,1,0.07613179653336033,47.600077902303426,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
208,H13,20130624,1,0.05134469998760949,47.62486499884917,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
209,H13,20130625,1,0.05488571377985352,47.621323985056925,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
210,H13,20130626,1,0.05134469998760949,47.62486499884917,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
211,H13,20130627,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
212,H13,20130628,1,0.05842672757211176,47.617782971264674,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
213,H13,20130629,1,0.07790230342946813,47.59830739540731,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
214,H13,20130630,1,0.0424921655069852,47.63371753332979,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
215,H13,20130701,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
216,H13,20130702,1,0.05842672757211176,47.617782971264674,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
217,H13,20130703,1,0.03718064481861916,47.63902905401817,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
218,H13,20130704,1,0.04426267240310722,47.63194702643367,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
219,H13,20130705,1,0.005311520688366045,47.670898178148406,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
220,H13,20130706,1,0.01770506896124857,47.65850462987553,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
221,H13,20130707,1,0.030098617234102676,47.64611108160267,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
